CCSDT,PBE0,PBE,BLYP,PBE0_DH,index,electron_count
11.691654973717526,11.396373178767396,11.114433536579009,11.018550915847849,11.591683084562687,0,18.0
9.973341273045223,10.30301734521392,10.048772074800226,9.970262476346088,10.357935785064269,1,16.0
10.435855113837999,10.569266642138887,10.449169440123415,10.360845933224066,10.638049907994196,2,16.0
10.93563489521417,10.672246668059222,10.419517354439387,10.338050132329423,10.741327747660467,3,18.0
10.889161568453718,11.13813776655093,10.72175390067705,10.606494627359544,11.276258183224353,4,18.0
11.228918938450958,11.228548045222146,11.331028960284327,11.166647545151168,11.251025019500108,5,14.0
11.432021133779719,11.014029430203374,10.637511763686499,10.554850269488412,11.275763674900695,6,26.0
8.994285479825589,8.949984815392186,8.710730139319276,8.612114719063019,9.079757945208009,7,26.0
9.303018518578185,9.336400937211904,9.189938377711792,9.087087732240708,9.413778779754438,8,26.0
9.938430049063163,10.022773742829806,9.951957638214843,9.843869058043289,10.084770010923423,9,24.0
12.090062095844157,11.118764655102515,11.00676099462938,10.882568369551567,11.194315361605767,10,24.0
10.124794575825602,10.192878588830911,10.087479885919802,9.93341137454371,10.272097757443952,11,24.0
9.651542220759726,9.720290584929344,9.598439772963403,9.458312679831826,9.798903320080417,12,24.0
9.645400462132875,9.733831266006513,9.618915920910162,9.467107328820703,9.8048078590522,13,24.0
10.113873559736085,10.2608131193816,9.837918519189763,9.728440303062683,10.421985856785236,14,26.0
8.948973047368739,8.97824599503019,8.870281670245634,8.757921148385183,9.050231150493566,15,26.0
9.796670952344991,9.786755330455618,9.596042460138493,9.48684062386997,9.907112188635601,16,26.0
9.751337396307132,9.62520634704535,9.636958956895082,9.485137834946524,9.667920024007582,17,24.0
11.87265915566461,11.690364454377502,11.545493889720664,11.396588968534694,11.857174519854345,18,22.0
9.871072202043168,9.791495429594917,9.486593649343618,9.388974803356597,9.961094335526345,19,34.0
11.317502866843588,11.445117600253694,11.217008242321455,11.065743755765924,11.55279524635531,20,32.0
11.3102264094037,10.547278584556626,10.173081566411716,10.052597745691738,10.787804513749588,21,34.0
9.098110334661198,9.10951831612452,8.911741640460928,8.80710878369484,9.201582019638247,22,34.0
8.505588652028282,8.33906854057712,7.939846805024069,7.8362306961145,8.50795670462913,23,34.0
10.075539465747248,9.871389723569772,9.358757559025086,9.243025786386402,10.177283946294363,24,34.0
9.606875418322515,9.52946490758917,9.275619893445347,9.173230407370681,9.683500359219511,25,34.0
9.579917896916724,9.43339256958023,9.411087313004328,9.25420753042136,9.491646434153116,26,32.0
9.684010227359101,9.715278262111791,9.523991470055744,9.42114931177805,9.822411491927248,27,32.0
9.728983940252101,9.756553084990639,9.552920696256875,9.452898040686717,9.866099971070176,28,32.0
8.881496092265667,8.856232908297944,8.613838905196383,8.479082897605151,8.961084466353055,29,32.0
9.241068965215625,9.091814641322355,8.747212069603966,8.602559632113701,9.339281168773141,30,32.0
9.494517784597111,9.267050015281367,8.999772721184863,8.858499093060724,9.403835486163155,31,32.0
11.24954066135665,11.181733457880814,10.75020993969297,10.604792003441748,11.42795693028189,32,30.0
8.578929290801417,8.692364872551385,8.624537760916485,8.478097085135133,8.759404742171252,33,32.0
9.335151049193911,9.450152971777147,9.305359957435947,9.174622876355349,9.525094856933508,34,32.0
8.852940962983794,8.753565405484535,8.523249021864281,8.384784218676227,8.8843165578076,35,32.0
8.953284863927916,9.095757892673426,8.921826894164075,8.755581152981643,9.191665147315359,36,32.0
9.951675977346378,9.877742543246631,9.45953816626018,9.340009809907023,10.08429990628685,37,32.0
7.847461136664487,7.929117772674704,7.878853161173323,7.748647298957744,7.975915278163769,38,32.0
10.010502858674473,9.801516846391499,9.499522723303029,9.348882189177345,9.965403887964605,39,30.0
8.781480454153186,8.488855576691362,8.518604655072865,8.337163701961703,8.562819186409545,40,30.0
8.907174403291021,8.728077968349602,8.736023646981096,8.553080465759686,8.789139316345482,41,30.0
9.582792568251755,9.554895792760663,9.386767890171186,9.247505799984937,9.666412866220055,42,30.0
9.597868661067256,9.5896851943396,9.421968326539227,9.28802954283454,9.693657570331531,43,30.0
10.592436819528327,10.448204258835393,10.398846215295034,10.205566838596368,10.55741723919049,44,28.0
12.924021871752048,12.819229255932765,12.699119122597226,12.497981100672332,13.012999414630544,45,26.0
9.734174217197618,9.725909069932237,9.549131384297606,9.40428146694224,9.847940731827077,46,30.0
9.431195078501517,9.260703895003696,9.220480963170708,9.022879240488535,9.357207026722733,47,28.0
10.448404477493062,10.473542836937416,10.330974113679254,10.170251349582411,10.56607826462221,48,28.0
11.443372809600723,11.339882826033918,11.226168272679097,11.019929793122484,11.494189874022895,49,26.0
8.89982803622308,8.94366831630499,8.894561858695155,8.753727693390038,9.011990664835974,50,32.0
8.73521452148551,8.844117682771833,8.756771174844305,8.595267029286282,8.919734994930108,51,32.0
9.720276515303272,9.684564106533822,9.499308207378348,9.345036233937629,9.799435711310188,52,32.0
9.920570397757354,9.847030465984643,9.681657845530593,9.535854037339849,9.957036953618237,53,32.0
9.945522083340734,9.826442727253486,9.460036340726687,9.33348175813299,10.023979699904631,54,32.0
9.664732033634404,9.622175015868159,9.422278805649167,9.318185114409108,9.7465741226405,55,32.0
10.462386435196581,10.31939733876799,10.084776952209475,9.946543299093436,10.475373866314238,56,32.0
8.52569920107979,8.525215088233951,8.344623821209609,8.236083686729605,8.626678214968008,57,32.0
8.352812256365862,8.338460456553616,8.224091468228902,8.110240706501786,8.421950475906813,58,40.0
9.538966396333391,9.560172542804915,9.291418031377507,9.170356678890943,9.703651736050722,59,38.0
